Date,Symbol,Open,High,Low,Volume From,Volume To,Close
8/10/2016,BTCUSD,585.76,600,584.07,1297.2,771219.25,595.14
8/11/2016,BTCUSD,595.14,597.19,587.01,994.18,588907.16,587.57
8/12/2016,BTCUSD,587.57,590.22,584.13,1178.5,693614.82,588.83
8/13/2016,BTCUSD,588.83,589.01,584.54,312.91,183870.38,586.99
8/14/2016,BTCUSD,586.99,586.99,566,517.34,296890.36,571.7
8/15/2016,BTCUSD,571.7,573.43,560.32,1004.32,569293.45,569.33
8/16/2016,BTCUSD,569.33,582.87,565.11,2250.67,1294063.25,580.35
8/17/2016,BTCUSD,580.35,580.35,571.16,1328.69,762121.71,574.99
8/18/2016,BTCUSD,574.99,576.72,573,1316.25,757122.81,574.08
8/19/2016,BTCUSD,574.08,576.99,570,1458.38,837295.15,573.7
8/20/2016,BTCUSD,573.7,580.21,573.7,449.71,259301.89,580.21
8/21/2016,BTCUSD,580.21,580.99,579.21,146.04,84777.33,579.85
8/22/2016,BTCUSD,579.85,588.96,579.85,1418.36,829418.58,586.97
8/23/2016,BTCUSD,586.97,586.97,580.66,943.71,549857.78,581.98
8/24/2016,BTCUSD,581.98,581.99,577.99,901.13,522461.91,579.24
8/25/2016,BTCUSD,579.24,579.24,566,2026.44,1161333.85,575.97
8/26/2016,BTCUSD,575.97,578.99,575.76,606.36,350319.44,578.77
8/27/2016,BTCUSD,578.77,578.99,568.01,278.21,159265.05,569.82
8/28/2016,BTCUSD,569.82,572.98,569.82,310.86,177486.57,572.98
8/29/2016,BTCUSD,572.98,575.99,571.71,972.74,558705.67,573.36
8/30/2016,BTCUSD,573.36,579.36,573.35,1263.63,727900.04,577.91
8/31/2016,BTCUSD,577.91,577.91,572.52,1491.14,855848.83,574.22
9/1/2016,BTCUSD,574.22,577.35,570.73,1247.36,716144.18,571.53
9/2/2016,BTCUSD,571.53,577.35,570.73,820.84,471476.74,574.85
9/3/2016,BTCUSD,574.85,607.14,573.93,1213.01,716423.67,600.17
9/4/2016,BTCUSD,600.17,611.84,500,662.56,397938.79,607.67
9/5/2016,BTCUSD,607.67,608.57,601.1,300.25,181521.97,605.98
9/6/2016,BTCUSD,605.98,611.89,605.45,541.27,329527.12,611.89
9/7/2016,BTCUSD,611.89,617.1,609.9,1513.9,931506.85,614.48
9/8/2016,BTCUSD,614.48,628.23,614.48,1379.06,859528.62,624.7
9/9/2016,BTCUSD,624.7,625.7,618.24,898.14,558400.19,622.15
9/10/2016,BTCUSD,622.15,623.8,619.33,486.69,302387.38,623.45
9/11/2016,BTCUSD,623.45,628.79,591.93,811.36,493538.52,604.86
9/12/2016,BTCUSD,604.86,609.13,604.08,698.8,423511.48,607.81
9/13/2016,BTCUSD,607.81,610.78,605.84,836.93,509225.08,607.94
9/14/2016,BTCUSD,607.94,610.73,607.1,674.57,410983.3,608.99
9/15/2016,BTCUSD,608.99,609.5,604.71,1486.35,902841.09,605.76
9/16/2016,BTCUSD,605.76,609.03,605.68,1253.87,761390.46,607.14
9/17/2016,BTCUSD,607.14,607.94,606.36,500,303480.55,606.38
9/18/2016,BTCUSD,606.38,608.99,606.37,228.84,138948.26,608.99
9/19/2016,BTCUSD,608.99,610.3,608,1575.91,960234.01,608.99
9/20/2016,BTCUSD,608.99,608.99,606.81,634.61,385888.25,608.59
9/21/2016,BTCUSD,608.59,608.59,591.95,4385.48,2609562.85,595.61
9/22/2016,BTCUSD,595.61,596.17,592.93,3118.47,1857241.19,594.69
9/23/2016,BTCUSD,594.69,601.34,593.82,4969.89,2976842.02,601.25
9/24/2016,BTCUSD,601.25,603.28,598.51,1593.36,954617.63,601.32
9/25/2016,BTCUSD,601.32,601.48,598.19,1363.46,817615.91,600
9/26/2016,BTCUSD,600,607.58,599.72,2418.75,1463058.84,606.98
9/27/2016,BTCUSD,606.98,607.2,601.11,3770.93,2278251.65,604.9
9/28/2016,BTCUSD,604.9,605.7,602.75,3271.82,1973586.19,604.24
9/29/2016,BTCUSD,604.24,606.52,603.86,3610.81,2184652.63,604.87
9/30/2016,BTCUSD,604.87,607.2,603.51,3356.75,2030182.93,607.2
10/1/2016,BTCUSD,607.2,616,607.2,1114.44,684672.23,614.04
10/2/2016,BTCUSD,614.04,614.04,607,774.69,471431.53,610.5
10/3/2016,BTCUSD,610.5,613,610.4,2500.09,1531896.86,612.91
10/4/2016,BTCUSD,612.91,612.99,609.05,2759.95,1683483.75,609.98
10/5/2016,BTCUSD,609.98,613.94,609.67,2562.14,1566205.98,612.38
10/6/2016,BTCUSD,612.38,613.19,611.27,3245.96,1987364.94,611.8
10/7/2016,BTCUSD,611.8,617.99,610,3135.14,1931579.12,617.99
10/8/2016,BTCUSD,617.99,618.15,616.96,773.81,477844.2,617.99
10/9/2016,BTCUSD,617.99,618.38,615.18,759.55,468728.81,616.06
10/10/2016,BTCUSD,616.06,617.99,614.73,2148.59,1324475.38,617.37
10/11/2016,BTCUSD,617.37,640,617.3,4341.38,2764907.56,640
10/12/2016,BTCUSD,640,640,634.74,3698.39,2359830.15,635.33
10/13/2016,BTCUSD,635.33,640,634.64,2934.47,1866680.69,635.45
10/14/2016,BTCUSD,635.45,641.59,632.44,3519.2,2244783.14,636.93
10/15/2016,BTCUSD,636.93,639.67,633.23,595.55,379145.81,635.17
10/16/2016,BTCUSD,635.17,640.68,635.17,757.33,482783.09,639.58
10/17/2016,BTCUSD,639.58,639.58,634.52,2660,1692964.91,637.79
10/18/2016,BTCUSD,637.79,638.88,633.69,2456.74,1561046.13,635
10/19/2016,BTCUSD,635,637.29,625.69,3193.63,2006496.9,628.61
10/20/2016,BTCUSD,628.61,629.55,622.83,2096.39,1314517.88,629
10/21/2016,BTCUSD,629,631.87,628.23,2635.75,1661384.27,630.15
10/22/2016,BTCUSD,630.15,657.47,630.15,2102.32,1366292.31,656.06
10/23/2016,BTCUSD,656.06,664.54,648.78,473.85,309814.67,650.51
10/24/2016,BTCUSD,650.51,650.51,645.36,3386.23,2195061.91,648.73
10/25/2016,BTCUSD,648.73,658.99,648.25,2589.43,1692215.62,649.56
10/26/2016,BTCUSD,649.56,678.55,646.99,3185.09,2133802.26,668.82
10/27/2016,BTCUSD,668.82,683.26,668.82,2810.99,1912383.61,680
