Date,Open,High,Low,Close,Volume,Market Cap
28-Jun-15,250.96,251.17,247.43,249.01,15137600.00,3566939394.00
29-Jun-15,248.72,257.17,248.58,257.06,34742900.00,3683193712.00
30-Jun-15,257.04,267.87,255.95,263.07,44533800.00,3770229522.00
1-Jul-15,263.35,265.17,255.77,258.62,27029800.00,3707306173.00
2-Jul-15,258.55,261.63,254.12,255.41,21551900.00,3662295200.00
3-Jul-15,255.46,257.08,253.51,256.34,19033800.00,3676575981.00
4-Jul-15,256.49,261.46,254.20,260.89,15620400.00,3742827088.00
5-Jul-15,260.80,274.51,258.70,271.91,44156100.00,3901985539.00
6-Jul-15,271.11,277.42,267.60,269.03,49154800.00,3861831490.00
7-Jul-15,269.96,271.34,264.83,266.21,28857600.00,3822200106.00
8-Jul-15,265.98,272.97,264.39,270.79,36980200.00,3889020940.00
9-Jul-15,270.83,272.33,267.09,269.23,40301200.00,3867547719.00
10-Jul-15,269.16,294.59,268.80,284.89,100390000.00,4093705987.00
11-Jul-15,284.88,298.51,283.53,293.11,41109900.00,4212919911.00
12-Jul-15,293.14,314.39,292.51,310.87,56405000.00,4469117252.00
13-Jul-15,310.83,310.95,281.01,292.05,62053900.00,4199736520.00
14-Jul-15,292.03,296.15,286.64,287.46,28727200.00,4134767190.00
15-Jul-15,288.05,293.25,285.37,285.83,27486600.00,4112343300.00
16-Jul-15,286.04,291.18,275.24,278.09,49482600.00,4001916229.00
17-Jul-15,278.09,280.28,272.04,279.47,27591400.00,4022845730.00
18-Jul-15,279.33,282.53,274.08,274.90,25187100.00,3958065833.00
19-Jul-15,274.77,275.67,272.51,273.61,15332500.00,3940581988.00
20-Jul-15,273.50,278.98,272.96,278.98,22711400.00,4018965413.00
21-Jul-15,278.88,280.55,275.42,275.83,22930700.00,3974491489.00
22-Jul-15,275.66,277.67,274.38,277.22,19389800.00,3995572964.00
23-Jul-15,277.34,278.11,275.72,276.05,18531300.00,3979625902.00
24-Jul-15,276.01,289.25,275.25,288.28,37199400.00,4157148934.00
25-Jul-15,288.16,290.73,286.00,288.70,20662200.00,4164295442.00
26-Jul-15,288.64,293.05,287.71,292.69,16032300.00,4222888242.00
27-Jul-15,292.64,297.77,287.45,293.62,30592000.00,4237522843.00
28-Jul-15,293.63,296.65,293.42,294.43,25453600.00,4250112630.00
29-Jul-15,294.48,294.54,288.78,289.59,24672600.00,4181390010.00
30-Jul-15,289.10,290.13,286.57,287.72,21635800.00,4155381827.00
31-Jul-15,287.70,288.96,282.34,284.65,23629100.00,4112089481.00
1-Aug-15,284.69,284.93,278.11,281.60,18995000.00,4069120370.00
2-Aug-15,280.45,283.03,277.53,282.61,17722200.00,4084832103.00
3-Aug-15,282.81,285.47,280.23,281.23,21474100.00,4065895598.00
4-Aug-15,281.23,285.71,281.23,285.22,21908700.00,4124558889.00
5-Aug-15,284.85,285.50,281.49,281.88,20128000.00,4077254001.00
6-Aug-15,281.91,281.91,278.40,278.58,18792100.00,4030445072.00
7-Aug-15,278.74,280.39,276.37,279.58,42484800.00,4045993359.00
8-Aug-15,279.74,279.93,260.71,261.00,58533000.00,3778049024.00
9-Aug-15,261.12,267.00,260.47,265.08,23789600.00,3838130130.00
10-Aug-15,265.48,267.03,262.60,264.47,20979400.00,3830352069.00
11-Aug-15,264.34,270.39,264.09,270.39,25433900.00,3917142819.00
12-Aug-15,270.60,270.67,265.47,266.38,26815400.00,3859888131.00
13-Aug-15,266.18,266.23,262.84,264.08,27685500.00,3827588724.00
14-Aug-15,264.13,267.47,261.48,265.68,27091200.00,3851715726.00
15-Aug-15,265.53,266.67,261.30,261.55,19321100.00,3792757590.00
16-Aug-15,261.87,262.44,257.04,258.51,29717000.00,3749501856.00
17-Aug-15,258.49,260.51,257.12,257.98,21617900.00,3742748055.00
18-Aug-15,257.93,257.99,211.08,211.08,42147200.00,3063104570.00
19-Aug-15,225.67,237.41,222.77,226.68,60869200.00,3290448603.00
20-Aug-15,226.90,237.37,226.90,235.35,32275000.00,3417123139.00
21-Aug-15,235.35,236.43,231.72,232.57,23173800.00,3377704243.00
22-Aug-15,232.66,234.96,222.70,230.39,23205900.00,3346961926.00
23-Aug-15,230.38,232.71,225.58,228.17,18406600.00,3315466697.00
24-Aug-15,228.11,228.14,210.44,210.49,59220700.00,3059460627.00
25-Aug-15,210.07,226.32,199.57,221.61,61089200.00,3221751642.00
26-Aug-15,222.08,231.18,220.20,225.83,31808000.00,3284040048.00
27-Aug-15,226.05,228.64,223.68,224.77,21905400.00,3269360632.00
28-Aug-15,224.70,235.22,220.93,231.40,31336600.00,3366649823.00
29-Aug-15,231.55,233.22,227.33,229.78,17142500.00,3344063019.00
30-Aug-15,229.90,232.07,226.25,228.76,19412600.00,3330085315.00
31-Aug-15,229.11,231.96,225.91,230.06,20710700.00,3349845416.00
1-Sep-15,230.26,231.22,226.86,228.12,20575200.00,3322548147.00
2-Sep-15,228.03,230.58,226.48,229.28,18760400.00,3340404203.00
3-Sep-15,229.32,229.60,226.67,227.18,17482000.00,3310618588.00
4-Sep-15,227.21,230.90,227.05,230.30,20962400.00,3356910010.00
5-Sep-15,230.20,236.14,229.44,235.02,20671400.00,3426594646.00
6-Sep-15,234.87,242.91,234.68,239.84,25473700.00,3497748612.00
7-Sep-15,239.93,242.11,238.72,239.85,21192200.00,3498762116.00
8-Sep-15,239.85,245.78,239.68,243.61,26879200.00,3554439286.00
9-Sep-15,243.41,244.42,237.82,238.17,23635700.00,3475960739.00
10-Sep-15,238.34,241.29,235.79,238.48,21215500.00,3481466104.00
11-Sep-15,238.33,241.17,238.33,240.11,19224700.00,3506204486.00
12-Sep-15,239.85,240.12,234.75,235.23,17962600.00,3435801820.00
13-Sep-15,235.24,235.93,229.33,230.51,18478800.00,3367774557.00
14-Sep-15,230.61,232.44,227.96,230.64,20997800.00,3370579521.00
