Symbol,Date,Open,High,Low,Close,Volume
ENGRO,06-Jun-2008,303.70,306.00,292.50,299.01,3571500
ENGRO,09-Jun-2008,299.66,303.74,294.70,296.38,1938700
ENGRO,10-Jun-2008,291.00,299.70,290.89,294.82,2704200
ENGRO,11-Jun-2008,295.45,303.50,295.05,298.10,2988600
ENGRO,12-Jun-2008,307.95,308.50,300.80,302.00,5141400
ENGRO,13-Jun-2008,300.00,304.00,297.10,304.00,2354700
ENGRO,16-Jun-2008,303.90,304.50,288.80,288.80,2994100
ENGRO,17-Jun-2008,288.00,298.70,276.00,297.90,4236300
ENGRO,18-Jun-2008,297.00,299.15,289.30,290.05,2723400
ENGRO,19-Jun-2008,287.00,290.00,275.55,275.55,3876200
ENGRO,20-Jun-2008,277.30,289.00,261.78,261.78,4941500
ENGRO,23-Jun-2008,261.00,263.00,248.70,248.70,3879200
ENGRO,24-Jun-2008,262.00,273.57,255.45,273.57,5035700
ENGRO,25-Jun-2008,279.98,292.00,279.00,286.50,8221300
ENGRO,26-Jun-2008,288.90,293.00,283.64,283.64,5633900
ENGRO,27-Jun-2008,284.50,285.00,280.81,280.81,541900
ENGRO,30-Jun-2008,278.01,278.01,278.01,278.01,12800
ENGRO,01-Jul-2008,278.01,278.01,278.01,278.01,96000
ENGRO,02-Jul-2008,275.23,275.23,275.23,275.23,16600
ENGRO,03-Jul-2008,275.23,275.23,275.23,275.23,4600
ENGRO,04-Jul-2008,272.48,272.48,272.48,272.48,12600
ENGRO,07-Jul-2008,269.76,269.76,269.76,269.76,3000
ENGRO,08-Jul-2008,267.07,267.07,267.07,267.07,89600
ENGRO,09-Jul-2008,267.07,267.07,267.07,267.07,335400
ENGRO,10-Jul-2008,264.40,264.40,264.40,264.40,2200
ENGRO,11-Jul-2008,261.76,261.76,261.76,261.76,23700
ENGRO,14-Jul-2008,248.68,248.68,248.68,248.68,101600
ENGRO,15-Jul-2008,236.25,246.50,236.25,236.25,4999800
ENGRO,16-Jul-2008,234.00,234.50,224.44,224.44,1307100
ENGRO,17-Jul-2008,213.22,213.22,213.22,213.22,387200
ENGRO,18-Jul-2008,213.22,223.50,202.57,211.00,4656300
ENGRO,21-Jul-2008,214.90,219.50,201.00,217.05,4481700
ENGRO,22-Jul-2008,217.50,227.90,215.99,227.90,2587300
ENGRO,23-Jul-2008,235.00,239.29,232.00,237.90,5080200
ENGRO,24-Jul-2008,238.50,238.50,226.01,227.98,4848200
ENGRO,25-Jul-2008,227.00,232.45,216.59,217.52,2871400
ENGRO,28-Jul-2008,214.00,214.00,206.65,206.65,2604900
ENGRO,29-Jul-2008,197.00,213.90,196.50,209.60,3805400
ENGRO,30-Jul-2008,213.00,219.95,213.00,219.95,3368700
ENGRO,31-Jul-2008,219.80,220.00,208.96,208.96,2947500
ENGRO,01-Aug-2008,202.00,205.25,198.52,198.52,1039600
ENGRO,04-Aug-2008,198.52,202.00,188.60,188.60,3545100
ENGRO,05-Aug-2008,188.00,198.00,179.60,196.51,4809500
ENGRO,06-Aug-2008,195.60,195.60,186.69,186.69,1587800
ENGRO,07-Aug-2008,179.40,192.90,177.55,184.35,5064100
ENGRO,08-Aug-2008,185.00,190.90,180.50,187.50,3239000
ENGRO,11-Aug-2008,186.00,196.87,185.50,196.50,3601800
ENGRO,12-Aug-2008,196.00,198.00,186.68,186.68,2059400
ENGRO,13-Aug-2008,184.00,190.50,178.11,185.50,2443300
ENGRO,15-Aug-2008,185.00,194.77,184.00,194.60,2186100
ENGRO,18-Aug-2008,197.05,204.33,193.60,204.33,3345900
ENGRO,19-Aug-2008,214.54,214.54,207.51,214.54,3743900
ENGRO,20-Aug-2008,209.00,213.60,203.82,206.90,4824300
ENGRO,21-Aug-2008,204.99,215.75,203.50,208.40,4749200
ENGRO,22-Aug-2008,205.00,210.00,197.98,197.98,2885300
ENGRO,25-Aug-2008,193.10,202.80,190.60,193.90,2288600
ENGRO,26-Aug-2008,193.00,197.50,184.21,184.21,2191100
ENGRO,27-Aug-2008,179.10,181.25,175.00,181.00,1660100
ENGRO,28-Aug-2008,185.00,186.00,181.00,182.75,1075000
ENGRO,29-Aug-2008,182.90,182.90,181.00,182.20,595100
ENGRO,01-Sep-2008,181.15,182.50,181.00,182.00,464000
ENGRO,02-Sep-2008,181.55,183.55,181.30,183.55,158800
ENGRO,03-Sep-2008,183.50,185.55,182.55,183.00,265000
ENGRO,04-Sep-2008,182.30,183.50,181.10,182.44,1100600
ENGRO,05-Sep-2008,181.50,188.25,180.44,188.00,1330500
ENGRO,08-Sep-2008,192.40,194.50,180.44,180.44,2361400
ENGRO,09-Sep-2008,181.99,182.00,180.44,181.00,1439800
ENGRO,10-Sep-2008,182.20,185.50,181.51,184.00,1060600
ENGRO,11-Sep-2008,182.60,184.00,181.00,184.00,947600
ENGRO,12-Sep-2008,183.00,183.49,181.85,183.00,510900
ENGRO,15-Sep-2008,181.25,184.65,181.25,183.00,1118000
ENGRO,16-Sep-2008,182.00,185.50,182.00,184.70,1843000
ENGRO,17-Sep-2008,183.50,186.40,183.11,186.14,1032900
ENGRO,18-Sep-2008,185.10,187.50,182.51,182.51,2968200
ENGRO,19-Sep-2008,181.55,182.24,180.44,180.44,546400
ENGRO,22-Sep-2008,180.44,181.45,180.44,180.44,1163900
ENGRO,23-Sep-2008,180.50,181.79,180.44,180.67,541000
ENGRO,24-Sep-2008,181.50,182.00,180.44,180.44,1060600
ENGRO,25-Sep-2008,180.44,180.44,180.44,180.44,375500
ENGRO,29-Sep-2008,180.44,180.45,180.44,180.44,421100
ENGRO,30-Sep-2008,180.44,180.44,180.44,180.44,2500
ENGRO,06-Oct-2008,180.44,180.44,180.44,180.44,500
ENGRO,10-Oct-2008,180.44,180.44,180.44,180.44,200
ENGRO,15-Oct-2008,180.44,180.44,180.44,180.44,100
ENGRO,17-Oct-2008,180.44,180.44,180.44,180.44,100
